,Player,PosFantasy,Precio,VI,USG%,ORtg,DRtg,eFG%,AGE,Puntos Fantasy
0,joel embiid,Front,18.0,15.3,39.6,124.0,104.8,0.561,30.1,58.283487179487175
1,luka doncic,Back,19.0,15.5,36.0,121.9,109.9,0.573,25.1,59.41257142857143
2,giannis antetokounmpo,Front,17.5,14.9,33.0,125.6,106.9,0.623,29.4,55.16849315068493
3,shai gilgeous-alexander,Back,17.0,11.9,32.9,128.6,107.7,0.567,25.8,49.56977333333333
4,jalen brunson,Back,15.5,10.0,32.5,124.2,112.6,0.543,27.6,42.89261038961038
5,kevin durant,Front,16.0,10.4,29.0,117.8,112.8,0.581,35.5,43.42996
6,devin booker,Back,15.0,10.5,29.8,123.9,110.6,0.55,27.5,42.81773529411764
7,jayson tatum,Front,16.5,11.5,30.2,120.6,107.6,0.552,26.1,44.61568918918919
8,de'aaron fox,Front,15.5,9.8,31.0,113.5,110.3,0.534,26.3,42.68581081081081
9,donovan mitchell,Back,16.0,10.6,31.3,116.9,109.1,0.545,27.6,43.65076363636364
10,stephen curry,Back,16.0,10.4,31.3,118.9,114.9,0.573,36.1,38.90062162162162
11,nikola jokic,Front,20.5,16.6,29.3,130.7,104.8,0.612,29.2,56.35965822784809
12,anthony edwards,Back,16.0,10.2,32.3,112.1,107.3,0.522,22.7,40.57389873417721
13,tyrese maxey,Back,15.0,9.0,28.0,120.9,113.9,0.524,23.4,40.99021428571429
14,lebron james,Front,16.5,13.1,29.1,119.7,113.4,0.599,39.3,47.074704225352114
15,trae young,Back,16.0,10.2,30.5,117.4,118.3,0.516,25.6,43.88514814814816
16,kyrie irving,Back,15.5,10.0,28.1,122.0,113.1,0.573,32.1,41.2431551724138
17,ja morant,Front,15.0,11.8,30.4,116.1,112.9,0.512,24.7,43.803
18,anthony davis,Front,17.0,11.6,26.7,124.0,107.6,0.567,31.1,49.96619736842105
19,damian lillard,Back,15.0,10.3,28.4,120.0,114.3,0.51,33.8,39.8997808219178
20,demar derozan,Front,14.5,8.7,25.8,122.6,115.5,0.507,34.7,38.824569620253165
21,julius randle,Front,15.0,11.7,29.9,112.8,107.2,0.518,29.4,40.58978260869565
22,lamelo ball,Back,15.0,12.3,34.3,110.4,110.0,0.515,22.6,42.2184090909091
23,kawhi leonard,Front,15.0,9.4,26.5,124.4,113.5,0.585,32.8,39.6469705882353
24,desmond bane,Back,14.5,9.7,28.5,114.3,110.8,0.552,25.8,37.58004761904762
25,terry rozier,Front,13.0,9.5,27.8,116.2,119.5,0.535,30.1,38.58316666666666
26,lauri markkanen,Front,14.5,8.8,25.0,127.5,116.9,0.578,26.9,37.48952727272727
27,jaylen brown,Back,14.0,9.2,28.9,113.4,106.7,0.557,27.5,36.01085714285714
28,zion williamson,Front,14.5,11.1,29.7,118.8,108.8,0.573,23.8,38.1174
29,cade cunningham,Back,14.5,10.8,30.8,108.3,115.2,0.5,22.6,38.2753064516129
30,paul george,Front,14.0,8.8,26.6,118.7,109.4,0.569,34.0,35.96131081081081
31,anfernee simons,Front,13.0,8.9,28.0,113.4,117.3,0.523,24.9,33.64893478260869
32,paolo banchero,Front,14.5,10.8,29.7,108.9,108.6,0.497,21.4,38.823225
33,dejounte murray,Back,15.0,10.2,26.6,113.8,117.2,0.528,27.6,39.23510256410256
34,jaren jackson jr.,Front,14.0,8.2,30.4,106.8,106.3,0.495,24.6,35.77236363636364
35,cam thomas,Front,12.0,7.6,30.5,110.3,114.5,0.503,22.5,30.547030303030297
36,pascal siakam,Front,14.0,10.1,25.3,118.5,115.6,0.559,30.0,37.04546153846153
37,kyle kuzma,Front,13.5,10.4,29.7,103.6,116.4,0.521,28.7,36.12542857142857
38,karl-anthony towns,Front,14.0,10.0,27.4,115.0,100.6,0.576,28.4,36.12706451612903
39,rj barrett,Front,13.0,9.9,25.7,114.2,113.9,0.599,23.8,35.08003125
40,victor wembanyama,Front,17.0,12.9,32.2,104.1,107.9,0.519,20.3,45.90856338028169
41,pascal siakam,Front,14.0,10.7,25.1,122.5,113.5,0.579,30.0,37.18817073170732
42,jamal murray,Back,14.0,10.5,27.9,119.1,112.3,0.554,27.1,37.15011864406779
43,alperen sengun,Front,15.0,12.3,27.0,117.7,104.0,0.553,21.7,41.09985714285714
44,jerami grant,Front,12.5,7.0,25.7,113.1,116.6,0.516,30.1,30.061333333333337
45,miles bridges,Front,13.5,8.5,24.7,108.5,117.9,0.527,26.1,35.51442028985507
46,jimmy butler,Front,14.0,9.6,24.0,129.2,111.9,0.537,34.6,36.1356
47,brandon ingram,Front,13.5,10.3,27.2,114.7,109.7,0.534,26.6,35.772140625
48,tyler herro,Front,12.5,9.5,27.8,108.2,110.7,0.531,24.2,33.34171428571428
49,bojan bogdanovic,Front,9.0,6.8,24.7,110.4,117.3,0.569,35.0,27.493535714285716
50,kristaps porzingis,Front,14.0,8.9,25.1,127.5,104.0,0.589,28.7,35.32857894736841
51,tyrese haliburton,Front,15.5,11.8,24.6,128.2,120.0,0.57,24.1,42.65717391304348
52,cj mccollum,Back,13.0,9.0,24.7,118.3,111.2,0.572,32.6,33.38793939393939
53,scottie barnes,Front,15.0,11.4,24.8,113.6,114.9,0.528,22.7,41.64585
54,franz wagner,Front,13.0,9.0,25.7,115.7,107.2,0.525,22.6,32.74836111111111
55,mikal bridges,Front,12.5,7.8,24.2,111.8,116.5,0.521,27.6,31.193536585365848
56,jalen green,Back,12.5,8.9,27.5,106.6,112.9,0.498,22.2,31.020243902439024
57,zach lavine,Front,12.5,8.4,23.8,113.3,113.4,0.531,29.1,31.54236
58,devin vassell,Front,12.0,8.1,23.5,113.4,117.7,0.55,23.6,31.35591176470588
59,domantas sabonis,Front,17.0,14.5,22.2,126.3,106.4,0.609,27.9,47.87640243902439
60,bam adebayo,Front,15.0,10.8,24.9,114.7,104.9,0.529,26.7,39.28023943661972
61,coby white,Back,12.5,8.3,22.7,114.7,114.7,0.534,24.2,31.84488607594936
62,jalen williams,Back,13.0,9.0,23.7,121.7,109.1,0.592,23.0,32.333366197183096
63,collin sexton,Front,12.0,9.3,27.5,122.1,117.9,0.549,25.3,29.059230769230773
64,immanuel quickley,Front,12.0,10.2,23.4,117.6,116.2,0.518,24.8,34.94352631578948
65,bradley beal,Front,12.5,8.9,22.7,116.6,111.7,0.582,30.8,31.47041509433962
66,rj barrett,Front,13.0,7.8,27.6,109.7,111.5,0.478,23.8,26.79607692307692
67,nikola vucevic,Front,14.0,10.0,23.3,113.5,110.2,0.522,33.5,36.98418421052632
68,d'angelo russell,Back,12.5,8.6,22.9,116.2,113.2,0.56,28.1,31.88698684210526
69,darius garland,Front,12.5,8.2,25.4,108.7,112.8,0.524,24.2,30.72768421052632
70,klay thompson,Front,10.0,6.9,24.2,112.5,114.9,0.551,34.2,25.968324675324677
71,fred vanvleet,Back,14.5,8.8,19.7,123.2,111.1,0.527,30.1,36.80098630136985
72,jordan poole,Front,11.0,7.9,26.4,101.9,114.4,0.491,24.8,27.620807692307697
73,brandon miller,Front,11.0,7.0,23.9,105.6,116.0,0.524,21.4,27.24159459459459
74,tobias harris,Front,12.5,8.3,20.7,118.0,112.4,0.535,31.7,31.7574
75,jordan clarkson,Front,11.0,8.7,26.1,106.5,120.8,0.469,31.9,27.396527272727276
76,myles turner,Front,12.5,7.9,23.4,119.7,109.7,0.587,28.1,30.676324675324672
77,bogdan bogdanovic,Back,11.0,7.4,22.3,115.6,115.4,0.537,31.7,27.19075949367089
78,michael porter jr.,Front,11.5,7.1,20.7,117.0,110.7,0.586,25.8,28.684864197530864
79,deandre ayton,Front,13.0,8.2,21.1,113.9,111.7,0.571,25.7,34.23536363636364
80,dalano banton,Back,8.5,9.1,27.2,103.2,116.3,0.471,24.4,28.6569
81,james harden,Front,14.5,10.5,20.6,125.2,113.6,0.541,34.6,36.62294444444444
82,jarrett allen,Front,13.5,9.8,19.4,130.9,107.7,0.634,26.0,35.148389610389614
83,chet holmgren,Front,13.5,9.2,21.7,122.0,105.9,0.598,22.0,33.8415731707317
84,terry rozier,Front,13.0,8.7,23.8,111.4,110.2,0.497,30.1,29.670548387096773
85,jonathan kuminga,Front,10.0,8.4,24.1,116.3,109.8,0.56,21.5,25.909743243243245
86,jalen johnson,Front,13.5,9.4,19.1,116.1,112.6,0.562,22.3,34.04557142857143
87,austin reaves,Back,12.0,9.0,20.3,118.8,113.1,0.568,25.9,29.372878048780485
88,shaedon sharpe,Back,8.0,7.4,22.4,104.7,113.5,0.475,20.9,26.5885
89,malcolm brogdon,Front,11.5,9.6,23.0,119.7,117.4,0.522,31.3,28.828461538461536
90,keldon johnson,Front,11.0,8.4,21.9,112.4,113.0,0.527,24.5,27.10504347826087
91,evan mobley,Front,13.5,10.2,20.6,121.6,104.1,0.6,22.8,34.57028
92,de'andre hunter,Front,9.5,6.1,20.6,114.8,114.5,0.547,26.4,23.065263157894737
93,donte divincenzo,Front,10.5,7.4,21.3,119.5,109.0,0.584,27.2,26.023172839506177
94,kelly oubre jr.,Front,9.5,6.5,22.4,108.5,108.0,0.498,28.3,25.97686764705882
95,malik monk,Front,10.5,9.4,25.9,113.1,111.4,0.526,26.2,26.65243055555555
96,jaden ivey,Front,10.0,8.1,24.9,104.4,114.1,0.492,22.2,25.06674025974026
97,simone fontecchio,Front,7.5,6.5,19.2,118.1,116.5,0.592,28.3,24.7185
98,derrick white,Back,12.5,8.5,18.6,126.3,109.2,0.578,29.8,30.90235616438356
99,keegan murray,Front,11.0,6.2,18.1,116.4,110.9,0.548,23.7,27.164779220779224
100,khris middleton,Front,11.5,10.7,23.9,115.4,108.3,0.566,32.7,28.74776363636364
101,john collins,Front,11.5,7.4,20.4,119.8,111.1,0.59,26.6,28.55633823529412
102,og anunoby,Front,10.5,6.6,18.2,112.6,116.2,0.584,26.7,25.36096296296296
103,immanuel quickley,Front,12.0,7.7,24.4,123.4,111.5,0.549,24.8,22.07173333333333
104,trey murphy iii,Front,10.5,7.3,18.6,126.5,112.2,0.579,23.8,26.156649122807018
105,deni avdija,Front,12.0,9.8,20.2,112.5,113.5,0.56,23.3,29.517840000000003
106,gg jackson,Front,9.0,6.5,24.2,107.2,114.4,0.519,19.3,22.092291666666668
107,dennis schroder,Front,10.5,8.4,21.8,108.8,115.0,0.507,30.6,27.221241379310342
108,gordon hayward,Front,8.5,8.5,21.3,109.0,117.5,0.505,34.1,28.2256
109,marcus smart,Front,10.5,7.3,23.0,100.1,108.8,0.519,30.1,25.8366
110,bennedict mathurin,Front,9.5,7.5,23.4,109.6,116.0,0.507,21.8,22.307627118644064
111,tim hardaway jr.,Front,9.0,6.5,22.6,109.4,115.0,0.51,32.1,21.251835443037976
112,og anunoby,Front,10.5,5.2,16.8,112.6,108.6,0.568,26.7,25.362739130434782
113,rudy gobert,Front,14.0,7.2,15.4,130.4,99.7,0.661,31.8,35.38036842105263
114,caris levert,Front,11.5,9.2,23.1,110.0,109.7,0.487,29.6,28.070029411764704
115,scoot henderson,Back,10.0,8.7,26.5,96.9,111.3,0.44,20.2,24.428129032258067
116,aaron gordon,Front,11.5,8.6,17.8,124.2,111.3,0.584,28.6,28.20158904109589
117,norman powell,Front,8.5,5.2,20.0,120.3,113.6,0.594,30.9,19.560789473684213
118,grant williams,Front,8.5,8.0,19.0,116.2,113.2,0.585,25.4,25.08341379310345
119,bobby portis,Front,10.0,8.3,22.8,114.6,106.1,0.562,29.2,25.920317073170736
120,jalen duren,Front,12.5,10.0,18.5,121.1,107.3,0.619,20.4,31.8027868852459
121,kenneth lofton jr.,Front,5.0,12.2,21.1,138.7,113.6,0.657,21.7,28.045
122,dennis schroder,Front,10.5,8.0,19.4,117.4,116.9,0.511,30.6,26.668941176470582
123,gary trent jr.,Front,9.0,5.6,20.0,110.1,118.3,0.531,25.2,21.084577464788733
124,saddiq bey,Front,9.5,6.3,17.0,119.3,119.1,0.497,25.0,24.851761904761908
125,jabari smith jr.,Front,11.0,7.0,17.6,115.8,107.3,0.537,20.9,27.657302631578947
126,p.j. washington,Front,10.0,7.4,21.2,106.2,113.7,0.524,25.6,24.994772727272725
127,rui hachimura,Front,9.5,6.2,18.4,121.6,113.1,0.61,26.2,21.827147058823527
128,grayson allen,Front,9.5,6.5,14.5,129.7,113.0,0.649,28.5,24.40908
129,naz reid,Front,9.5,7.4,23.1,110.9,102.2,0.576,24.6,23.668345679012347
130,cameron johnson,Front,9.5,7.5,19.6,118.1,113.0,0.557,28.1,23.342379310344832
131,corey kispert,Front,8.5,6.5,19.6,114.0,118.6,0.602,25.1,19.926325
132,marvin bagley iii,Front,9.5,8.4,20.9,122.6,115.0,0.599,25.1,26.143375
133,andrew wiggins,Front,9.5,6.9,20.9,111.1,112.0,0.511,29.1,22.370154929577463
134,keyonte george,Back,9.0,8.0,22.8,104.6,121.0,0.482,20.4,21.649786666666667
135,duncan robinson,Front,9.0,6.4,19.0,114.6,107.6,0.589,30.0,20.459279411764705
136,scotty pippen jr.,Front,8.0,9.2,23.1,110.2,105.6,0.567,23.4,25.492619047619048
137,dillon brooks,Front,9.0,5.4,17.6,109.1,107.3,0.515,28.2,20.12708333333333
138,mark williams,Front,12.0,7.9,17.1,137.3,110.1,0.649,22.3,29.077578947368423
139,kelly olynyk,Front,9.5,10.4,20.0,117.5,106.3,0.598,33.0,27.636642857142856
140,alec burks,Back,6.0,7.2,23.5,118.3,116.0,0.516,32.7,18.984069767441863
141,spencer dinwiddie,Front,9.0,8.2,18.6,118.6,115.2,0.48,31.0,26.24333333333333
142,jalen suggs,Front,9.5,7.0,19.7,112.9,103.8,0.578,22.9,22.53425333333333
143,brook lopez,Front,11.0,6.2,16.0,120.6,111.5,0.583,36.0,25.96592405063291
144,jrue holiday,Front,11.5,8.4,16.3,121.0,110.7,0.581,33.8,27.75063768115942
145,josh giddey,Back,11.0,11.5,23.1,111.1,109.3,0.523,21.5,27.7032125
146,cam whitmore,Front,8.5,6.8,27.2,108.8,108.9,0.539,19.8,18.924042553191487
147,jonas valanciunas,Front,11.0,10.4,20.8,122.8,101.1,0.585,31.9,26.922036585365856
148,harrison barnes,Front,7.5,4.9,15.7,122.1,116.9,0.576,31.9,18.49823170731707
149,max strus,Front,10.0,7.7,17.4,111.8,108.8,0.533,28.0,24.95018571428572
150,aaron nesmith,Front,9.5,5.9,15.9,122.0,110.7,0.606,24.5,21.257638888888888
151,ayo dosunmu,Front,9.5,6.6,17.2,118.4,113.8,0.583,24.2,21.70959210526316
152,buddy hield,Front,9.5,7.6,20.2,114.1,110.8,0.55,31.3,21.43634375
153,javonte green,Front,6.0,5.9,16.7,131.5,108.1,0.667,30.7,25.19677777777778
154,bruce brown,Front,9.0,7.5,16.7,115.2,114.0,0.527,27.7,23.608030303030304
155,tyus jones,Front,11.5,8.4,16.3,126.2,122.7,0.569,27.9,27.96412121212121
156,buddy hield,Front,9.5,7.3,18.6,114.2,115.7,0.575,31.3,21.475538461538463
157,jaime jaquez jr.,Front,10.0,6.9,18.7,112.4,107.2,0.536,23.2,21.41969333333333
158,tre mann,Back,9.0,8.4,18.2,109.8,116.6,0.524,23.2,26.689571428571423
159,nic claxton,Front,12.5,8.4,15.6,123.5,108.0,0.63,25.0,30.7818028169014
160,ivica zubac,Front,11.0,8.1,16.4,131.7,106.0,0.649,27.1,26.611764705882354
161,p.j. washington,Front,10.0,5.9,16.3,105.7,111.4,0.508,25.6,24.582103448275863
162,cole anthony,Front,9.0,9.0,23.7,109.9,104.2,0.497,23.9,21.479777777777777
163,jeremy sochan,Front,9.5,8.5,18.8,103.6,111.9,0.483,20.9,25.11497297297298
164,clint capela,Front,12.0,8.2,17.3,126.1,111.1,0.571,29.9,29.169780821917804
165,lamar stevens,Front,5.5,7.0,22.5,105.3,109.7,0.474,26.8,22.0928947368421
166,mike conley,Front,10.0,8.0,16.0,129.3,107.9,0.595,36.5,25.23707894736842
167,malik beasley,Front,8.0,5.2,14.6,116.9,112.8,0.598,27.4,18.685670886075947
168,brandon clarke,Front,9.5,8.0,20.8,114.0,111.8,0.568,27.6,23.0485
169,zach collins,Front,9.5,10.0,22.6,107.7,105.7,0.531,26.4,22.626173913043484
170,daniel gafford,Front,12.0,9.3,16.4,144.1,102.2,0.78,25.5,26.057655172413792
171,russell westbrook,Front,10.0,11.2,25.2,106.8,108.6,0.486,35.4,24.543647058823527
172,jakob poeltl,Front,12.0,9.4,16.2,123.8,107.9,0.656,28.5,28.06786
173,de'anthony melton,Back,9.5,7.4,18.3,113.2,108.5,0.493,25.9,23.023815789473684
174,eric gordon,Front,7.5,4.9,16.5,112.3,116.0,0.565,35.3,17.877176470588235
175,luke kennard,Front,8.5,7.5,16.7,121.3,116.5,0.617,27.8,19.539564102564103
176,wendell carter jr.,Front,9.5,7.9,17.2,121.8,104.5,0.6,25.0,22.7912
177,herbert jones,Front,9.5,6.1,14.1,124.0,106.7,0.595,25.5,22.43536842105264
178,jusuf nurkic,Front,12.5,11.5,19.1,113.4,99.8,0.528,29.6,32.00776315789474
179,moritz wagner,Front,7.5,8.7,22.8,125.7,102.2,0.637,27.0,18.325425000000003
180,luguentz dort,Back,9.0,5.4,15.4,116.8,107.4,0.557,25.0,19.409037974683542
181,daniel gafford,Front,12.0,7.7,13.9,137.2,108.7,0.69,25.5,28.13297777777777
182,isaiah stewart,Front,9.5,6.3,14.5,113.3,115.3,0.575,22.9,22.257608695652177
183,jake laravia,Front,7.0,7.1,21.1,109.0,110.4,0.477,22.4,18.72148571428572
184,vasilije micic,Back,5.5,7.6,20.3,107.1,119.8,0.495,30.3,21.886066666666665
185,santi aldama,Front,9.5,7.9,17.9,108.6,112.0,0.528,23.3,23.23568852459016
186,jaden mcdaniels,Front,8.0,4.9,15.7,107.8,103.5,0.557,23.5,18.12659722222222
187,chimezie metu,Front,5.5,6.7,15.4,108.9,111.5,0.557,27.1,23.149285714285718
188,bojan bogdanovic,Front,9.0,5.5,24.3,103.9,111.6,0.521,35.0,13.293931034482757
189,obi toppin,Front,8.0,7.6,16.8,128.8,114.4,0.661,26.1,18.787792682926828
190,reggie jackson,Front,7.5,7.6,21.7,108.7,111.0,0.499,34.0,18.04165853658536
191,t.j. mcconnell,Back,9.5,11.7,23.6,120.6,115.5,0.572,32.1,22.42425352112676
192,marvin bagley iii,Front,9.5,7.8,21.1,121.0,114.2,0.594,25.1,17.39715384615384
193,kevin huerter,Front,9.0,7.4,17.3,115.9,110.2,0.553,25.6,19.740671875
194,onyeka okongwu,Front,9.5,7.0,13.7,135.9,110.2,0.642,23.3,22.71201818181818
195,kentavious caldwell-pope,Back,9.0,4.9,12.9,118.7,112.2,0.566,31.2,19.363236842105263
196,alex caruso,Front,10.0,7.1,14.7,119.2,109.4,0.593,30.1,23.87704225352113
197,talen horton-tucker,Back,8.5,8.9,24.0,108.3,113.9,0.46,23.4,19.54864705882353
198,caleb martin,Front,9.0,6.7,17.3,107.3,108.1,0.504,28.5,19.7758125
199,patrick williams,Front,9.0,5.7,16.6,107.2,112.8,0.525,22.6,19.011209302325582
200,tre jones,Front,9.5,8.9,15.2,122.9,116.3,0.557,24.3,24.573285714285717
201,vince williams jr.,Front,9.5,8.3,15.8,114.3,107.6,0.55,23.6,23.236653846153843
202,jordan goodwin,Back,7.5,9.7,19.8,100.0,109.2,0.399,25.5,28.74147058823529
203,josh richardson,Front,7.5,6.3,16.5,115.8,109.4,0.539,30.6,17.841860465116277
204,jalen smith,Front,9.0,8.8,19.4,132.7,108.8,0.67,24.1,19.052688524590167
205,tari eason,Front,10.0,8.0,19.8,110.5,101.2,0.513,22.9,23.677272727272733
206,lonnie walker iv,Back,6.0,7.0,24.4,105.8,112.7,0.528,25.3,15.238120689655174
207,nick richards,Front,9.5,6.0,13.3,133.8,111.1,0.691,26.4,22.42646268656716
208,payton pritchard,Back,8.0,8.4,17.2,128.8,110.5,0.583,26.2,19.040536585365853
209,bruce brown,Front,9.0,7.1,16.4,110.1,114.9,0.519,27.7,18.95744117647059
210,amen thompson,Back,10.0,9.8,18.5,117.3,103.3,0.545,21.2,23.664387096774195
211,georges niang,Front,6.0,6.0,17.6,109.2,105.8,0.567,30.8,15.541853658536583
